Position,Decimal,Name,Appearance
0x0CAC,3244,KANNADA LETTER BA,ಬ
0x0CAD,3245,KANNADA LETTER BHA,ಭ
0x0CAE,3246,KANNADA LETTER MA,ಮ
0x0CAF,3247,KANNADA LETTER YA,ಯ
0x0CB0,3248,KANNADA LETTER RA,ರ
0x0CB1,3249,KANNADA LETTER RRA,ಱ
0x0CB2,3250,KANNADA LETTER LA,ಲ
0x0CB3,3251,KANNADA LETTER LLA,ಳ
0x0CB5,3253,KANNADA LETTER VA,ವ
0x0CB6,3254,KANNADA LETTER SHA,ಶ
0x0CB7,3255,KANNADA LETTER SSA,ಷ
0x0CB8,3256,KANNADA LETTER SA,ಸ
0x0CB9,3257,KANNADA LETTER HA,ಹ
0x0CBE,3262,KANNADA VOWEL SIGN AA,ಾ
0x0CBF,3263,KANNADA VOWEL SIGN I,ಿ
0x0CC0,3264,KANNADA VOWEL SIGN II,ೀ
0x0CC1,3265,KANNADA VOWEL SIGN U,ು
0x0CC2,3266,KANNADA VOWEL SIGN UU,ೂ
0x0CC3,3267,KANNADA VOWEL SIGN VOCALIC R,ೃ
0x0CC4,3268,KANNADA VOWEL SIGN VOCALIC RR,ೄ
0x0CC6,3270,KANNADA VOWEL SIGN E,ೆ
0x0CC7,3271,KANNADA VOWEL SIGN EE,ೇ
0x0CC8,3272,KANNADA VOWEL SIGN AI,ೈ
0x0CCA,3274,KANNADA VOWEL SIGN O,ೊ
0x0CCB,3275,KANNADA VOWEL SIGN OO,ೋ
0x0CCC,3276,KANNADA VOWEL SIGN AU,ೌ
0x0CCD,3277,KANNADA SIGN VIRAMA,್
0x0CD5,3285,KANNADA LENGTH MARK,ೕ
0x0CD6,3286,KANNADA AI LENGTH MARK,ೖ
0x0CDE,3294,KANNADA LETTER FA,ೞ
0x0CE0,3296,KANNADA LETTER VOCALIC RR,ೠ
0x0CE1,3297,KANNADA LETTER VOCALIC LL,ೡ
0x0CE6,3302,KANNADA DIGIT ZERO,೦
0x0CE7,3303,KANNADA DIGIT ONE,೧
0x0CE8,3304,KANNADA DIGIT TWO,೨
0x0CE9,3305,KANNADA DIGIT THREE,೩
0x0CEA,3306,KANNADA DIGIT FOUR,೪
0x0CEB,3307,KANNADA DIGIT FIVE,೫
0x0CEC,3308,KANNADA DIGIT SIX,೬
0x0CED,3309,KANNADA DIGIT SEVEN,೭
0x0CEE,3310,KANNADA DIGIT EIGHT,೮
0x0CEF,3311,KANNADA DIGIT NINE,೯
,,,
0x0D02,3330,MALAYALAM SIGN ANUSVARA,ം
0x0D03,3331,MALAYALAM SIGN VISARGA,ഃ
0x0D05,3333,MALAYALAM LETTER A,അ
0x0D06,3334,MALAYALAM LETTER AA,ആ
0x0D07,3335,MALAYALAM LETTER I,ഇ
0x0D08,3336,MALAYALAM LETTER II,ഈ
0x0D09,3337,MALAYALAM LETTER U,ഉ
0x0D0A,3338,MALAYALAM LETTER UU,ഊ
0x0D0B,3339,MALAYALAM LETTER VOCALIC R,ഋ
0x0D0C,3340,MALAYALAM LETTER VOCALIC L,ഌ
0x0D0E,3342,MALAYALAM LETTER E,എ
0x0D0F,3343,MALAYALAM LETTER EE,ഏ
0x0D10,3344,MALAYALAM LETTER AI,ഐ
0x0D12,3346,MALAYALAM LETTER O,ഒ
0x0D13,3347,MALAYALAM LETTER OO,ഓ
0x0D14,3348,MALAYALAM LETTER AU,ഔ
0x0D15,3349,MALAYALAM LETTER KA,ക
0x0D16,3350,MALAYALAM LETTER KHA,ഖ
0x0D17,3351,MALAYALAM LETTER GA,ഗ
0x0D18,3352,MALAYALAM LETTER GHA,ഘ
0x0D19,3353,MALAYALAM LETTER NGA,ങ
0x0D1A,3354,MALAYALAM LETTER CA,ച
0x0D1B,3355,MALAYALAM LETTER CHA,ഛ
0x0D1C,3356,MALAYALAM LETTER JA,ജ
0x0D1D,3357,MALAYALAM LETTER JHA,ഝ
0x0D1E,3358,MALAYALAM LETTER NYA,ഞ
0x0D1F,3359,MALAYALAM LETTER TTA,ട
0x0D20,3360,MALAYALAM LETTER TTHA,ഠ
0x0D21,3361,MALAYALAM LETTER DDA,ഡ
0x0D22,3362,MALAYALAM LETTER DDHA,ഢ
0x0D23,3363,MALAYALAM LETTER NNA,ണ
0x0D24,3364,MALAYALAM LETTER TA,ത
0x0D25,3365,MALAYALAM LETTER THA,ഥ
0x0D26,3366,MALAYALAM LETTER DA,ദ
0x0D27,3367,MALAYALAM LETTER DHA,ധ
0x0D28,3368,MALAYALAM LETTER NA,ന
0x0D2A,3370,MALAYALAM LETTER PA,പ
0x0D2B,3371,MALAYALAM LETTER PHA,ഫ
0x0D2C,3372,MALAYALAM LETTER BA,ബ
0x0D2D,3373,MALAYALAM LETTER BHA,ഭ
0x0D2E,3374,MALAYALAM LETTER MA,മ
0x0D2F,3375,MALAYALAM LETTER YA,യ
0x0D30,3376,MALAYALAM LETTER RA,ര
0x0D31,3377,MALAYALAM LETTER RRA,റ
0x0D32,3378,MALAYALAM LETTER LA,ല
0x0D33,3379,MALAYALAM LETTER LLA,ള
0x0D34,3380,MALAYALAM LETTER LLLA,ഴ
0x0D35,3381,MALAYALAM LETTER VA,വ
0x0D36,3382,MALAYALAM LETTER SHA,ശ
0x0D37,3383,MALAYALAM LETTER SSA,ഷ
0x0D38,3384,MALAYALAM LETTER SA,സ
0x0D39,3385,MALAYALAM LETTER HA,ഹ
0x0D3E,3390,MALAYALAM VOWEL SIGN AA,ാ
0x0D3F,3391,MALAYALAM VOWEL SIGN I,ി
0x0D40,3392,MALAYALAM VOWEL SIGN II,ീ
0x0D41,3393,MALAYALAM VOWEL SIGN U,ു
0x0D42,3394,MALAYALAM VOWEL SIGN UU,ൂ
0x0D43,3395,MALAYALAM VOWEL SIGN VOCALIC R,ൃ
0x0D46,3398,MALAYALAM VOWEL SIGN E,െ
0x0D47,3399,MALAYALAM VOWEL SIGN EE,േ
0x0D48,3400,MALAYALAM VOWEL SIGN AI,ൈ
0x0D4A,3402,MALAYALAM VOWEL SIGN O,ൊ
0x0D4B,3403,MALAYALAM VOWEL SIGN OO,ോ
0x0D4C,3404,MALAYALAM VOWEL SIGN AU,ൌ
0x0D4D,3405,MALAYALAM SIGN VIRAMA,്
0x0D57,3415,MALAYALAM AU LENGTH MARK,ൗ
0x0D60,3424,MALAYALAM LETTER VOCALIC RR,ൠ
0x0D61,3425,MALAYALAM LETTER VOCALIC LL,ൡ
0x0D66,3430,MALAYALAM DIGIT ZERO,൦
0x0D67,3431,MALAYALAM DIGIT ONE,൧
0x0D68,3432,MALAYALAM DIGIT TWO,൨
0x0D69,3433,MALAYALAM DIGIT THREE,൩
0x0D6A,3434,MALAYALAM DIGIT FOUR,൪
0x0D6B,3435,MALAYALAM DIGIT FIVE,൫
0x0D6C,3436,MALAYALAM DIGIT SIX,൬
0x0D6D,3437,MALAYALAM DIGIT SEVEN,൭
0x0D6E,3438,MALAYALAM DIGIT EIGHT,൮
0x0D6F,3439,MALAYALAM DIGIT NINE,൯
,,,
0x0D82,3458,SINHALA SIGN ANUSVARAYA,ං
0x0D83,3459,SINHALA SIGN VISARGAYA,ඃ
0x0D85,3461,SINHALA LETTER AYANNA,අ
0x0D86,3462,SINHALA LETTER AAYANNA,ආ
0x0D87,3463,SINHALA LETTER AEYANNA,ඇ
0x0D88,3464,SINHALA LETTER AEEYANNA,ඈ
0x0D89,3465,SINHALA LETTER IYANNA,ඉ
0x0D8A,3466,SINHALA LETTER IIYANNA,ඊ
0x0D8B,3467,SINHALA LETTER UYANNA,උ
0x0D8C,3468,SINHALA LETTER UUYANNA,ඌ
0x0D8D,3469,SINHALA LETTER IRUYANNA,ඍ
0x0D8E,3470,SINHALA LETTER IRUUYANNA,ඎ
0x0D8F,3471,SINHALA LETTER ILUYANNA,ඏ
0x0D90,3472,SINHALA LETTER ILUUYANNA,ඐ
0x0D91,3473,SINHALA LETTER EYANNA,එ
0x0D92,3474,SINHALA LETTER EEYANNA,ඒ
0x0D93,3475,SINHALA LETTER AIYANNA,ඓ
0x0D94,3476,SINHALA LETTER OYANNA,ඔ
0x0D95,3477,SINHALA LETTER OOYANNA,ඕ
0x0D96,3478,SINHALA LETTER AUYANNA,ඖ
0x0D9A,3482,SINHALA LETTER ALPAPRAANA KAYANNA,ක
0x0D9B,3483,SINHALA LETTER MAHAAPRAANA KAYANNA,ඛ
0x0D9C,3484,SINHALA LETTER ALPAPRAANA GAYANNA,ග
0x0D9D,3485,SINHALA LETTER MAHAAPRAANA GAYANNA,ඝ
0x0D9E,3486,SINHALA LETTER KANTAJA NAASIKYAYA,ඞ
0x0D9F,3487,SINHALA LETTER SANYAKA GAYANNA,ඟ
0x0DA0,3488,SINHALA LETTER ALPAPRAANA CAYANNA,ච
0x0DA1,3489,SINHALA LETTER MAHAAPRAANA CAYANNA,ඡ
0x0DA2,3490,SINHALA LETTER ALPAPRAANA JAYANNA,ජ
0x0DA3,3491,SINHALA LETTER MAHAAPRAANA JAYANNA,ඣ
0x0DA4,3492,SINHALA LETTER TAALUJA NAASIKYAYA,ඤ
0x0DA5,3493,SINHALA LETTER TAALUJA SANYOOGA NAAKSIKYAYA,ඥ
0x0DA6,3494,SINHALA LETTER SANYAKA JAYANNA,ඦ
0x0DA7,3495,SINHALA LETTER ALPAPRAANA TTAYANNA,ට
0x0DA8,3496,SINHALA LETTER MAHAAPRAANA TTAYANNA,ඨ
0x0DA9,3497,SINHALA LETTER ALPAPRAANA DDAYANNA,ඩ
0x0DAA,3498,SINHALA LETTER MAHAAPRAANA DDAYANNA,ඪ
0x0DAB,3499,SINHALA LETTER MUURDHAJA NAYANNA,ණ
0x0DAC,3500,SINHALA LETTER SANYAKA DDAYANNA,ඬ
0x0DAD,3501,SINHALA LETTER ALPAPRAANA TAYANNA,ත
0x0DAE,3502,SINHALA LETTER MAHAAPRAANA TAYANNA,ථ
0x0DAF,3503,SINHALA LETTER ALPAPRAANA DAYANNA,ද
0x0DB0,3504,SINHALA LETTER MAHAAPRAANA DAYANNA,ධ
0x0DB1,3505,SINHALA LETTER DANTAJA NAYANNA,න
0x0DB3,3507,SINHALA LETTER SANYAKA DAYANNA,ඳ
0x0DB4,3508,SINHALA LETTER ALPAPRAANA PAYANNA,ප
0x0DB5,3509,SINHALA LETTER MAHAAPRAANA PAYANNA,ඵ
0x0DB6,3510,SINHALA LETTER ALPAPRAANA BAYANNA,බ
0x0DB7,3511,SINHALA LETTER MAHAAPRAANA BAYANNA,භ
0x0DB8,3512,SINHALA LETTER MAYANNA,ම
0x0DB9,3513,SINHALA LETTER AMBA BAYANNA,ඹ
0x0DBA,3514,SINHALA LETTER YAYANNA,ය
0x0DBB,3515,SINHALA LETTER RAYANNA,ර
0x0DBD,3517,SINHALA LETTER DANTAJA LAYANNA,ල
0x0DC0,3520,SINHALA LETTER VAYANNA,ව
0x0DC1,3521,SINHALA LETTER TAALUJA SAYANNA,ශ
0x0DC2,3522,SINHALA LETTER MUURDHAJA SAYANNA,ෂ
0x0DC3,3523,SINHALA LETTER DANTAJA SAYANNA,ස
0x0DC4,3524,SINHALA LETTER HAYANNA,හ
0x0DC5,3525,SINHALA LETTER MUURDHAJA LAYANNA,ළ
0x0DC6,3526,SINHALA LETTER FAYANNA,ෆ
0x0DCA,3530,SINHALA SIGN AL-LAKUNA,්
0x0DCF,3535,SINHALA VOWEL SIGN AELA-PILLA,ා
0x0DD0,3536,SINHALA VOWEL SIGN KETTI AEDA-PILLA,ැ
0x0DD1,3537,SINHALA VOWEL SIGN DIGA AEDA-PILLA,ෑ
0x0DD2,3538,SINHALA VOWEL SIGN KETTI IS-PILLA,ි
0x0DD3,3539,SINHALA VOWEL SIGN DIGA IS-PILLA,ී
0x0DD4,3540,SINHALA VOWEL SIGN KETTI PAA-PILLA,ු
0x0DD6,3542,SINHALA VOWEL SIGN DIGA PAA-PILLA,ූ
0x0DD8,3544,SINHALA VOWEL SIGN GAETTA-PILLA,ෘ
0x0DD9,3545,SINHALA VOWEL SIGN KOMBUVA,ෙ
0x0DDA,3546,SINHALA VOWEL SIGN DIGA KOMBUVA,ේ
0x0DDB,3547,SINHALA VOWEL SIGN KOMBU DEKA,ෛ
0x0DDC,3548,SINHALA VOWEL SIGN KOMBUVA HAA AELA-PILLA,ො
0x0DDD,3549,SINHALA VOWEL SIGN KOMBUVA HAA DIGA AELA-PILLA,ෝ
0x0DDE,3550,SINHALA VOWEL SIGN KOMBUVA HAA GAYANUKITTA,ෞ
0x0DDF,3551,SINHALA VOWEL SIGN GAYANUKITTA,ෟ
0x0DF2,3570,SINHALA VOWEL SIGN DIGA GAETTA-PILLA,ෲ
0x0DF3,3571,SINHALA VOWEL SIGN DIGA GAYANUKITTA,ෳ
0x0DF4,3572,SINHALA PUNCTUATION KUNDDALIYA,෴
,,,
0x0E01,3585,THAI CHARACTER KO KAI,ก
0x0E02,3586,THAI CHARACTER KHO KHAI,ข
0x0E03,3587,THAI CHARACTER KHO KHUAT,ฃ
0x0E04,3588,THAI CHARACTER KHO KHWAI,ค
0x0E05,3589,THAI CHARACTER KHO KHON,ฅ
0x0E06,3590,THAI CHARACTER KHO RAKHANG,ฆ
0x0E07,3591,THAI CHARACTER NGO NGU,ง
0x0E08,3592,THAI CHARACTER CHO CHAN,จ
0x0E09,3593,THAI CHARACTER CHO CHING,ฉ
0x0E0A,3594,THAI CHARACTER CHO CHANG,ช
0x0E0B,3595,THAI CHARACTER SO SO,ซ
0x0E0C,3596,THAI CHARACTER CHO CHOE,ฌ
0x0E0D,3597,THAI CHARACTER YO YING,ญ
0x0E0E,3598,THAI CHARACTER DO CHADA,ฎ
0x0E0F,3599,THAI CHARACTER TO PATAK,ฏ
0x0E10,3600,THAI CHARACTER THO THAN,ฐ
0x0E11,3601,THAI CHARACTER THO NANGMONTHO,ฑ
0x0E12,3602,THAI CHARACTER THO PHUTHAO,ฒ
0x0E13,3603,THAI CHARACTER NO NEN,ณ
0x0E14,3604,THAI CHARACTER DO DEK,ด
0x0E15,3605,THAI CHARACTER TO TAO,ต
0x0E16,3606,THAI CHARACTER THO THUNG,ถ
0x0E17,3607,THAI CHARACTER THO THAHAN,ท
0x0E18,3608,THAI CHARACTER THO THONG,ธ
0x0E19,3609,THAI CHARACTER NO NU,น
0x0E1A,3610,THAI CHARACTER BO BAIMAI,บ
0x0E1B,3611,THAI CHARACTER PO PLA,ป
0x0E1C,3612,THAI CHARACTER PHO PHUNG,ผ
0x0E1D,3613,THAI CHARACTER FO FA,ฝ
0x0E1E,3614,THAI CHARACTER PHO PHAN,พ
0x0E1F,3615,THAI CHARACTER FO FAN,ฟ
0x0E20,3616,THAI CHARACTER PHO SAMPHAO,ภ
0x0E21,3617,THAI CHARACTER MO MA,ม
0x0E22,3618,THAI CHARACTER YO YAK,ย
0x0E23,3619,THAI CHARACTER RO RUA,ร
0x0E24,3620,THAI CHARACTER RU,ฤ
0x0E25,3621,THAI CHARACTER LO LING,ล
0x0E26,3622,THAI CHARACTER LU,ฦ
0x0E27,3623,THAI CHARACTER WO WAEN,ว
0x0E28,3624,THAI CHARACTER SO SALA,ศ
0x0E29,3625,THAI CHARACTER SO RUSI,ษ
0x0E2A,3626,THAI CHARACTER SO SUA,ส
0x0E2B,3627,THAI CHARACTER HO HIP,ห
0x0E2C,3628,THAI CHARACTER LO CHULA,ฬ
0x0E2D,3629,THAI CHARACTER O ANG,อ
0x0E2E,3630,THAI CHARACTER HO NOKHUK,ฮ
0x0E2F,3631,THAI CHARACTER PAIYANNOI,ฯ
0x0E30,3632,THAI CHARACTER SARA A,ะ
0x0E31,3633,THAI CHARACTER MAI HAN-AKAT,ั
0x0E32,3634,THAI CHARACTER SARA AA,า
0x0E33,3635,THAI CHARACTER SARA AM,ำ
0x0E34,3636,THAI CHARACTER SARA I,ิ
0x0E35,3637,THAI CHARACTER SARA II,ี
0x0E36,3638,THAI CHARACTER SARA UE,ึ
0x0E37,3639,THAI CHARACTER SARA UEE,ื
0x0E38,3640,THAI CHARACTER SARA U,ุ
0x0E39,3641,THAI CHARACTER SARA UU,ู
0x0E3A,3642,THAI CHARACTER PHINTHU,ฺ
0x0E3F,3647,THAI CURRENCY SYMBOL BAHT,฿
0x0E40,3648,THAI CHARACTER SARA E,เ
0x0E41,3649,THAI CHARACTER SARA AE,แ
0x0E42,3650,THAI CHARACTER SARA O,โ
0x0E43,3651,THAI CHARACTER SARA AI MAIMUAN,ใ
0x0E44,3652,THAI CHARACTER SARA AI MAIMALAI,ไ
0x0E45,3653,THAI CHARACTER LAKKHANGYAO,ๅ
0x0E46,3654,THAI CHARACTER MAIYAMOK,ๆ
0x0E47,3655,THAI CHARACTER MAITAIKHU,็
0x0E48,3656,THAI CHARACTER MAI EK,่
0x0E49,3657,THAI CHARACTER MAI THO,้
0x0E4A,3658,THAI CHARACTER MAI TRI,๊
0x0E4B,3659,THAI CHARACTER MAI CHATTAWA,๋
0x0E4C,3660,THAI CHARACTER THANTHAKHAT,์
0x0E4D,3661,THAI CHARACTER NIKHAHIT,ํ
0x0E4E,3662,THAI CHARACTER YAMAKKAN,๎
0x0E4F,3663,THAI CHARACTER FONGMAN,๏
0x0E50,3664,THAI DIGIT ZERO,๐
0x0E51,3665,THAI DIGIT ONE,๑
0x0E52,3666,THAI DIGIT TWO,๒
0x0E53,3667,THAI DIGIT THREE,๓
0x0E54,3668,THAI DIGIT FOUR,๔
0x0E55,3669,THAI DIGIT FIVE,๕
0x0E56,3670,THAI DIGIT SIX,๖
0x0E57,3671,THAI DIGIT SEVEN,๗
0x0E58,3672,THAI DIGIT EIGHT,๘
0x0E59,3673,THAI DIGIT NINE,๙
0x0E5A,3674,THAI CHARACTER ANGKHANKHU,๚
0x0E5B,3675,THAI CHARACTER KHOMUT,๛
,,,
0x0E81,3713,LAO LETTER KO,ກ
0x0E82,3714,LAO LETTER KHO SUNG,ຂ
0x0E84,3716,LAO LETTER KHO TAM,ຄ
0x0E87,3719,LAO LETTER NGO,ງ
0x0E88,3720,LAO LETTER CO,ຈ
0x0E8A,3722,LAO LETTER SO TAM,ຊ
0x0E8D,3725,LAO LETTER NYO,ຍ
0x0E94,3732,LAO LETTER DO,ດ
0x0E95,3733,LAO LETTER TO,ຕ
0x0E96,3734,LAO LETTER THO SUNG,ຖ
0x0E97,3735,LAO LETTER THO TAM,ທ
0x0E99,3737,LAO LETTER NO,ນ
0x0E9A,3738,LAO LETTER BO,ບ
0x0E9B,3739,LAO LETTER PO,ປ
0x0E9C,3740,LAO LETTER PHO SUNG,ຜ
0x0E9D,3741,LAO LETTER FO TAM,ຝ
0x0E9E,3742,LAO LETTER PHO TAM,ພ
0x0E9F,3743,LAO LETTER FO SUNG,ຟ
0x0EA1,3745,LAO LETTER MO,ມ
0x0EA2,3746,LAO LETTER YO,ຢ
0x0EA3,3747,LAO LETTER LO LING,ຣ
0x0EA5,3749,LAO LETTER LO LOOT,ລ
0x0EA7,3751,LAO LETTER WO,ວ
0x0EAA,3754,LAO LETTER SO SUNG,ສ
0x0EAB,3755,LAO LETTER HO SUNG,ຫ
0x0EAD,3757,LAO LETTER O,ອ
0x0EAE,3758,LAO LETTER HO TAM,ຮ
0x0EAF,3759,LAO ELLIPSIS,ຯ
0x0EB0,3760,LAO VOWEL SIGN A,ະ
0x0EB1,3761,LAO VOWEL SIGN MAI KAN,ັ
0x0EB2,3762,LAO VOWEL SIGN AA,າ
0x0EB3,3763,LAO VOWEL SIGN AM,ຳ
0x0EB4,3764,LAO VOWEL SIGN I,ິ
0x0EB5,3765,LAO VOWEL SIGN II,ີ
0x0EB6,3766,LAO VOWEL SIGN Y,ຶ
0x0EB7,3767,LAO VOWEL SIGN YY,ື
0x0EB8,3768,LAO VOWEL SIGN U,ຸ
0x0EB9,3769,LAO VOWEL SIGN UU,ູ
0x0EBB,3771,LAO VOWEL SIGN MAI KON,ົ
0x0EBC,3772,LAO SEMIVOWEL SIGN LO,ຼ
0x0EBD,3773,LAO SEMIVOWEL SIGN NYO,ຽ
0x0EC0,3776,LAO VOWEL SIGN E,ເ
0x0EC1,3777,LAO VOWEL SIGN EI,ແ
0x0EC2,3778,LAO VOWEL SIGN O,ໂ
0x0EC3,3779,LAO VOWEL SIGN AY,ໃ
0x0EC4,3780,LAO VOWEL SIGN AI,ໄ
0x0EC6,3782,LAO KO LA,ໆ
0x0EC8,3784,LAO TONE MAI EK,່
0x0EC9,3785,LAO TONE MAI THO,້
0x0ECA,3786,LAO TONE MAI TI,໊
0x0ECB,3787,LAO TONE MAI CATAWA,໋
0x0ECC,3788,LAO CANCELLATION MARK,໌
0x0ECD,3789,LAO NIGGAHITA,ໍ
0x0ED0,3792,LAO DIGIT ZERO,໐
0x0ED1,3793,LAO DIGIT ONE,໑
0x0ED2,3794,LAO DIGIT TWO,໒
0x0ED3,3795,LAO DIGIT THREE,໓
0x0ED4,3796,LAO DIGIT FOUR,໔
0x0ED5,3797,LAO DIGIT FIVE,໕
0x0ED6,3798,LAO DIGIT SIX,໖
0x0ED7,3799,LAO DIGIT SEVEN,໗
0x0ED8,3800,LAO DIGIT EIGHT,໘
0x0ED9,3801,LAO DIGIT NINE,໙
0x0EDC,3804,LAO HO NO,ໜ
0x0EDD,3805,LAO HO MO,ໝ
,,,
0x0F00,3840,TIBETAN SYLLABLE OM,ༀ
0x0F01,3841,TIBETAN MARK GTER YIG MGO TRUNCATED A,༁
0x0F02,3842,TIBETAN MARK GTER YIG MGO -UM RNAM BCAD MA,༂
0x0F03,3843,TIBETAN MARK GTER YIG MGO -UM GTER TSHEG MA,༃
0x0F04,3844,TIBETAN MARK INITIAL YIG MGO MDUN MA,༄
0x0F05,3845,TIBETAN MARK CLOSING YIG MGO SGAB MA,༅
0x0F06,3846,TIBETAN MARK CARET YIG MGO PHUR SHAD MA,༆
0x0F07,3847,TIBETAN MARK YIG MGO TSHEG SHAD MA,༇
0x0F08,3848,TIBETAN MARK SBRUL SHAD,༈
0x0F09,3849,TIBETAN MARK BSKUR YIG MGO,༉
0x0F0A,3850,TIBETAN MARK BKA- SHOG YIG MGO,༊
0x0F0B,3851,TIBETAN MARK INTERSYLLABIC TSHEG,་
0x0F0C,3852,TIBETAN MARK DELIMITER TSHEG BSTAR,༌
0x0F0D,3853,TIBETAN MARK SHAD,།
0x0F0E,3854,TIBETAN MARK NYIS SHAD,༎
0x0F0F,3855,TIBETAN MARK TSHEG SHAD,༏
0x0F10,3856,TIBETAN MARK NYIS TSHEG SHAD,༐
0x0F11,3857,TIBETAN MARK RIN CHEN SPUNGS SHAD,༑
0x0F12,3858,TIBETAN MARK RGYA GRAM SHAD,༒
0x0F13,3859,TIBETAN MARK CARET -DZUD RTAGS ME LONG CAN,༓
0x0F14,3860,TIBETAN MARK GTER TSHEG,༔
0x0F15,3861,TIBETAN LOGOTYPE SIGN CHAD RTAGS,༕
0x0F16,3862,TIBETAN LOGOTYPE SIGN LHAG RTAGS,༖
0x0F17,3863,TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS,༗
0x0F18,3864,TIBETAN ASTROLOGICAL SIGN -KHYUD PA,༘
0x0F19,3865,TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS,༙
0x0F1A,3866,TIBETAN SIGN RDEL DKAR GCIG,༚
0x0F1B,3867,TIBETAN SIGN RDEL DKAR GNYIS,༛
0x0F1C,3868,TIBETAN SIGN RDEL DKAR GSUM,༜
0x0F1D,3869,TIBETAN SIGN RDEL NAG GCIG,༝
0x0F1E,3870,TIBETAN SIGN RDEL NAG GNYIS,༞
0x0F1F,3871,TIBETAN SIGN RDEL DKAR RDEL NAG,༟
0x0F20,3872,TIBETAN DIGIT ZERO,༠
0x0F21,3873,TIBETAN DIGIT ONE,༡
0x0F22,3874,TIBETAN DIGIT TWO,༢
0x0F23,3875,TIBETAN DIGIT THREE,༣
0x0F24,3876,TIBETAN DIGIT FOUR,༤
0x0F25,3877,TIBETAN DIGIT FIVE,༥
0x0F26,3878,TIBETAN DIGIT SIX,༦
0x0F27,3879,TIBETAN DIGIT SEVEN,༧
0x0F28,3880,TIBETAN DIGIT EIGHT,༨
0x0F29,3881,TIBETAN DIGIT NINE,༩
0x0F2A,3882,TIBETAN DIGIT HALF ONE,༪
0x0F2B,3883,TIBETAN DIGIT HALF TWO,༫
0x0F2C,3884,TIBETAN DIGIT HALF THREE,༬
0x0F2D,3885,TIBETAN DIGIT HALF FOUR,༭
0x0F2E,3886,TIBETAN DIGIT HALF FIVE,༮
0x0F2F,3887,TIBETAN DIGIT HALF SIX,༯
0x0F30,3888,TIBETAN DIGIT HALF SEVEN,༰
0x0F31,3889,TIBETAN DIGIT HALF EIGHT,༱
0x0F32,3890,TIBETAN DIGIT HALF NINE,༲
0x0F33,3891,TIBETAN DIGIT HALF ZERO,༳
0x0F34,3892,TIBETAN MARK BSDUS RTAGS,༴
0x0F35,3893,TIBETAN MARK NGAS BZUNG NYI ZLA,༵
0x0F36,3894,TIBETAN MARK CARET -DZUD RTAGS BZHI MIG CAN,༶
0x0F37,3895,TIBETAN MARK NGAS BZUNG SGOR RTAGS,༷
0x0F38,3896,TIBETAN MARK CHE MGO,༸
0x0F39,3897,TIBETAN MARK TSA -PHRU,༹
0x0F3A,3898,TIBETAN MARK GUG RTAGS GYON,༺
0x0F3B,3899,TIBETAN MARK GUG RTAGS GYAS,༻
0x0F3C,3900,TIBETAN MARK ANG KHANG GYON,༼
0x0F3D,3901,TIBETAN MARK ANG KHANG GYAS,༽
0x0F3E,3902,TIBETAN SIGN YAR TSHES,༾
0x0F3F,3903,TIBETAN SIGN MAR TSHES,༿
0x0F40,3904,TIBETAN LETTER KA,ཀ
0x0F41,3905,TIBETAN LETTER KHA,ཁ
0x0F42,3906,TIBETAN LETTER GA,ག
0x0F43,3907,TIBETAN LETTER GHA,གྷ
0x0F44,3908,TIBETAN LETTER NGA,ང
0x0F45,3909,TIBETAN LETTER CA,ཅ
0x0F46,3910,TIBETAN LETTER CHA,ཆ
0x0F47,3911,TIBETAN LETTER JA,ཇ
0x0F49,3913,TIBETAN LETTER NYA,ཉ
0x0F4A,3914,TIBETAN LETTER TTA,ཊ
0x0F4B,3915,TIBETAN LETTER TTHA,ཋ
0x0F4C,3916,TIBETAN LETTER DDA,ཌ
0x0F4D,3917,TIBETAN LETTER DDHA,ཌྷ
0x0F4E,3918,TIBETAN LETTER NNA,ཎ
0x0F4F,3919,TIBETAN LETTER TA,ཏ
0x0F50,3920,TIBETAN LETTER THA,ཐ
0x0F51,3921,TIBETAN LETTER DA,ད
0x0F52,3922,TIBETAN LETTER DHA,དྷ
0x0F53,3923,TIBETAN LETTER NA,ན
0x0F54,3924,TIBETAN LETTER PA,པ
0x0F55,3925,TIBETAN LETTER PHA,ཕ
0x0F56,3926,TIBETAN LETTER BA,བ
0x0F57,3927,TIBETAN LETTER BHA,བྷ
0x0F58,3928,TIBETAN LETTER MA,མ
0x0F59,3929,TIBETAN LETTER TSA,ཙ
0x0F5A,3930,TIBETAN LETTER TSHA,ཚ
0x0F5B,3931,TIBETAN LETTER DZA,ཛ
0x0F5C,3932,TIBETAN LETTER DZHA,ཛྷ
0x0F5D,3933,TIBETAN LETTER WA,ཝ
0x0F5E,3934,TIBETAN LETTER ZHA,ཞ
0x0F5F,3935,TIBETAN LETTER ZA,ཟ
0x0F60,3936,TIBETAN LETTER -A,འ
0x0F61,3937,TIBETAN LETTER YA,ཡ
0x0F62,3938,TIBETAN LETTER RA,ར
0x0F63,3939,TIBETAN LETTER LA,ལ
0x0F64,3940,TIBETAN LETTER SHA,ཤ
0x0F65,3941,TIBETAN LETTER SSA,ཥ
0x0F66,3942,TIBETAN LETTER SA,ས
0x0F67,3943,TIBETAN LETTER HA,ཧ
